000078711/000,*9CA095A3FDF096978F518EAD000078711/000*
000078712/000,*B1123AB465414DF6E4EBC828000078712/000*
000078713/000,*C90CE312E7B3AC4F3EA4F8CC000078713/000*
000078714/000,*29F7BA6939B672EF25398173000078714/000*
000078715/000,*293FE14392CBE495D5051A5F000078715/000*
000078716/000,*735CA07E9343D47D3860D8F7000078716/000*
000078717/000,*C600ADBAD6B6B54D3E300734000078717/000*
000078718/000,*B33BDE7D1A70743BCA56D1D0000078718/000*
000078719/000,*A464A530955A81CBB336FC13000078719/000*
000078720/000,*686185A705EE86F3761FB08D000078720/000*
000078721/000,*E6D97ED11147D1CE488E6482000078721/000*
000078722/000,*E5FD227D3B8708DBED6AC482000078722/000*
000078723/000,*1C89E52F54ADB979B7DD1292000078723/000*
000078724/000,*DE117186A373688936270D3D000078724/000*
000078725/000,*2A70C7213CB3A05EF1C3AC17000078725/000*
000078726/000,*0179E368637901B42C174C1E000078726/000*
000078727/000,*83B7B8353759EE876A1B3ED1000078727/000*
000078728/000,*BD52AD6D2FFBE97DC853A5FC000078728/000*
000078729/000,*F66EDFEF1497C6798C97620C000078729/000*
000078730/000,*E0716A89AC1BC60C8603319F000078730/000*
000078731/000,*517DB9011313610055195A6D000078731/000*
000078732/000,*76CFD98D46E18461CC10A178000078732/000*
000078733/000,*BA8E6A9FB68D65B48883761F000078733/000*
000078734/000,*089F98AD4B16EF7ADAB54DC0000078734/000*
000078735/000,*2EDF256431B7BFEDCA14C626000078735/000*
000078736/000,*641239166CD367CDAE154AD5000078736/000*
000078737/000,*76B79CB11A382186215E708A000078737/000*
000078738/000,*F81D9753D75DE5DB7F816F28000078738/000*
000078739/000,*62FAA941CECDE11D14D6BC07000078739/000*
000078740/000,*3724188DAB8612040F17C209000078740/000*
000078741/000,*E9CBBBA9CF1B7A4A1141F38E000078741/000*
000078742/000,*5587B27150ACC2709D4EB93C000078742/000*
000078743/000,*6575E5C2E8D10AEDEAC020D2000078743/000*
000078744/000,*2F859827B278F0A2FA71AB43000078744/000*
000078745/000,*9248BC46642B72EA96E6CB53000078745/000*
000078746/000,*C389852253417F69FF592E1F000078746/000*
000078747/000,*66A7DE23D1915D7495C1E8F3000078747/000*
000078748/000,*EFA3F590FF8DFECE1DE68C5D000078748/000*
000078749/000,*E660E01EEEE9A43CBCAB4821000078749/000*
000078750/000,*D18ABC76D8F02FC10FA73AC6000078750/000*
000078751/000,*222C45A777F357D624717485000078751/000*
000078483/000,*48AF277B53583C41283D770F000078483/000*
000078484/000,*AC20ADED456558FEBA7E1D40000078484/000*
000078485/000,*370C9177688C6522E45EC61B000078485/000*
000078486/000,*63DEEFC0CAEA0BEF13BFE750000078486/000*
000078487/000,*D67C18D57953FBA61E46CE1F000078487/000*
000078488/000,*FE50D7D6EB0EA880D197E47C000078488/000*
000078489/000,*0A7E7377C9F6D741B654CC58000078489/000*
000078490/000,*C77758C8B379E61A76C3D7FD000078490/000*
000078491/000,*5D4C3E912B9F161D9A884EFC000078491/000*
000078492/000,*8444C6202395948FF7E1A3B4000078492/000*
000078493/000,*E46C247E2F30FC9109C97FC8000078493/000*
000078494/000,*65481D5758FA894763A2DF4B000078494/000*
000078495/000,*70F9E442178B669BE2920D47000078495/000*
000078496/000,*D6EF8BEDD55E24D05945DDFC000078496/000*
000078766/000,*47EDC7FEBF7A360A5D257DE5000078766/000*
000078767/000,*0E30D33CB025FF1752EAFD9E000078767/000*
000078768/000,*BECD39E9D3C1977EB01C0A4C000078768/000*
000078769/000,*8A0068C8D7AECEB649802356000078769/000*
000078770/000,*3910854F8012C4C1F856BA83000078770/000*
000078771/000,*DF2FEF1EE407EB827CCE1433000078771/000*
000078772/000,*E75698FC4C8F41BEA0CAD564000078772/000*
000078773/000,*182B055E0B681F49F0B7B277000078773/000*
000079146/000,*8031362E69BC97485D7C8282000079146/000*
000079147/000,*43E55CCEB3215E25867DAE49000079147/000*
000079148/000,*D64E88B903BAF48D3704DA7D000079148/000*
000079149/000,*42F55A0CA691697CF3B943AB000079149/000*
000079150/000,*489BE957C48476271FF1D58E000079150/000*
000079151/000,*1EA3155E974EC5A97AC91739000079151/000*
000079152/000,*1A7934AC1251B9A3A46D9C43000079152/000*
000079153/000,*083E8E3B694B40FD509A4DDB000079153/000*
000079154/000,*EB8538F375AE63E9117C23DF000079154/000*
000079155/000,*C7A2350DBECE9F30A8B14AD7000079155/000*
000079156/000,*8E69DB87E82E874C0D45DDC9000079156/000*
000079157/000,*6610B9BF9FBA4ECA300DD3FE000079157/000*
000079158/000,*61BB57BD145C7B8D20F9A0B1000079158/000*
000079159/000,*62F5F91A41B70E60158AB781000079159/000*
000079160/000,*AAB81E5FC569389D91784441000079160/000*
000079161/000,*E7AB9C0D4570847DD2BC290C000079161/000*
000079162/000,*B33B7C013067CF40CCA6E88B000079162/000*
000079163/000,*252644D70BEC6F621F828EF4000079163/000*
000079164/000,*6DE4D7F0EE4B37271D4EB1B0000079164/000*
000079165/000,*5CB61F3AA5376A511F10F7B5000079165/000*
000079166/000,*11F952B1842E86CA672E180E000079166/000*
000079167/000,*8137634F095280DA3B368579000079167/000*
000079168/000,*26A58EEA9D5B2114F212DE67000079168/000*
000079169/000,*5D7EFA4C0F681C1B3C9CD728000079169/000*
000079170/000,*224277A3A647075505DB8D8E000079170/000*
000079171/000,*9F3AD89BD0F972ACF3E7FBD6000079171/000*
000079172/000,*0B6806E0350BE37C22C04A2D000079172/000*
000079173/000,*0A554506E5E6F4ED348BD060000079173/000*
000079174/000,*C2F1D7F9AD88761DE2228125000079174/000*
000079175/000,*0B0C69535CF323EB3B12ADEB000079175/000*
000079176/000,*62B089334D5E77316F140A18000079176/000*
000079177/000,*74585B655B9FA37296746C6D000079177/000*
000079178/000,*E54931F7D822605D88221D5D000079178/000*
000079179/000,*E7FDC77EE7F13EA5D2589A2F000079179/000*
000079180/000,*24D9A25240A476531DC03F43000079180/000*
000079181/000,*7B7A124841E2DA40C517E35C000079181/000*
000079182/000,*124CE67BE1A4322B2B953751000079182/000*
000079183/000,*A948F5A67EB1EF9A682536CB000079183/000*
000079184/000,*252D909C6DA7761F2843B377000079184/000*
000079185/000,*54BC2EBDE3A15B5622DE4E58000079185/000*
000079186/000,*EDBD149D144232070453A100000079186/000*
000079187/000,*E36D0CCFD45C0A57276BDD67000079187/000*
000079188/000,*EE3E709C4276204C8BBC005D000079188/000*
000079189/000,*CE135F89125A812B4B8EA8AC000079189/000*
000079190/000,*A9A110A431BB1694AFC7BA4E000079190/000*
000079191/000,*0E5370AEDF4A73A0A14A762B000079191/000*
000079192/000,*AC22A09BAE0DA3D619F5BCBD000079192/000*
000079193/000,*7798887150DF7A258CB9EDDB000079193/000*
000079194/000,*B87A8CC9816C0DAF2722288E000079194/000*
000079195/000,*7ED05B92E4FC274393C153D6000079195/000*
000079196/000,*3D945D37110A3672D69762F7000079196/000*
000079197/000,*FB51C7E0E60E7D4A26C18323000079197/000*
000079198/000,*3A84D36241E82F13CE7D7B7D000079198/000*
000079199/000,*3FEF85AFCB18675887645BD1000079199/000*
000079200/000,*31059C1D8FC48C6FDA15A1BB000079200/000*
000079201/000,*1D9040499720B7B11FF23BAF000079201/000*
000079202/000,*30C79FA4152583EC15E4A50F000079202/000*
000079203/000,*0ED669AC84C2FDDB3BD21DAD000079203/000*
000079204/000,*3AFC4291346933D4E916DBBE000079204/000*
000079205/000,*66667C40A2C7C6FEF91822DD000079205/000*
000079206/000,*DB30504E7EE9A968767AE1E4000079206/000*
000079207/000,*63EB9A72FBBBE4EBF1B28832000079207/000*
000079208/000,*20AA340BE3B3189808274144000079208/000*
000079209/000,*FD5973E2EB8C766F88700934000079209/000*
000078164/000,*B048F4D975244D4BF40CB18B000078164/000*
000078165/000,*C8CAA25D49BB030A41D42F65000078165/000*
000078166/000,*C32415441C145565E270F0A6000078166/000*
000078167/000,*297141B84509B9DD73F44CEE000078167/000*
000078168/000,*DFA7AF964C84559AB065F40D000078168/000*
000078169/000,*C03C7C6A6913E9358CAEEC63000078169/000*
000078170/000,*10A16EC50DB05CA785FE02F1000078170/000*
000078171/000,*BD71E5A4CE6155CB18F47152000078171/000*
000078172/000,*6C552658CD99D1F2DAB43BB9000078172/000*
000078173/000,*E31155D56B86B75092D19D84000078173/000*
000078174/000,*D0C87141B586F52A604F0581000078174/000*
000078175/000,*E44F15AC314AC3EC058E201F000078175/000*
000078176/000,*82EEEB254E9A070EB69A3A14000078176/000*
000078177/000,*DD29BE2E1916413D71BDA4AC000078177/000*
000078178/000,*4F149B87BE38F9E329051D15000078178/000*
000078179/000,*923FA174148C2B941D619F39000078179/000*
000078180/000,*9968EEC5BD75B8861AD3FBD4000078180/000*
000078181/000,*9AC81F5E69A7D6246353126E000078181/000*
